,chart_week,list_position,track_id,name_x,duration_ms,release_date,album_type,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_id,name_y,popularity,followers
0,2020-04-04,1,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
1,2020-04-11,1,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
2,2020-04-25,1,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
3,2020-05-02,1,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
4,2020-03-28,2,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
5,2020-04-18,2,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
6,2020-05-09,2,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
7,2020-07-18,2,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
8,2020-05-16,3,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
9,2020-05-30,3,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
